user_id,user_status,content_title,language_code,completion_status,high_score,gender,employment_type,staff_band_level,country,function,department
USER001,Active,"Six Sigma: Team Basics, Roles, and Responsibilities",English,Completed,85.0,F,Contract,Contract,Nigeria,Information Technology,IT
USER001,Active,Agile Principles and Methodologies,English,Completed,92.0,F,Contract,Contract,Nigeria,Information Technology,IT
USER001,Active,Ethics and Project Management,English,Completed,85.0,F,Contract,Contract,Nigeria,Information Technology,IT
USER001,Active,Overcoming Unconscious Bias in the Workplace,English,Completed,87.0,F,Contract,Contract,Nigeria,Information Technology,IT
USER001,Active,Forming New Habits,English,Completed,0.0,F,Contract,Contract,Nigeria,Information Technology,IT
USER001,Active,Expert Insights on Communication Essentials,English,Completed,0.0,F,Contract,Contract,Nigeria,Information Technology,IT
USER0010,Active,Embracing an Agile Culture for Business Growth,English,Started,0.0,M,Contract,Contract,Nigeria,Customer Experience,Commercial
USER00100,Active,Embracing an Agile Culture for Business Growth,English,Completed,97.0,M,Permanent,B5,Nigeria,Networks,Network Operations & Support
USER001000,Active,Ethics and Project Management,English,Started,77.0,M,Permanent,B5,Tanzania,Networks,Network.Design Planning & Optimization
USER001000,Active,Embracing an Agile Culture for Business Growth,English,Started,69.0,M,Permanent,B5,Tanzania,Networks,Network.Design Planning & Optimization
USER001001,Active,Embracing an Agile Culture for Business Growth,English,Started,0.0,M,Permanent,B5,Nigeria,Networks,Network Operations & Support
USER001001,Active,Communicating with Confidence,English,Started,0.0,M,Permanent,B5,Nigeria,Networks,Network Operations & Support
USER001001,Active,Preparing and Implementing a Business Plan,English,Completed,89.0,M,Permanent,B5,Nigeria,Networks,Network Operations & Support
USER001001,Active,Maintaining a Cohesive Multigenerational Workforce,English,Completed,82.0,M,Permanent,B5,Nigeria,Networks,Network Operations & Support
USER001001,Active,Managing Multigenerational Employees,English,Completed,93.0,M,Permanent,B5,Nigeria,Networks,Network Operations & Support
USER001001,Active,Expert Insights on Strategic Planning & Execution,English,Completed,0.0,M,Permanent,B5,Nigeria,Networks,Network Operations & Support
USER001002,Active,Anti-Money Laundering: An Overview,English,Completed,100.0,M,Permanent,B5,Zambia,Networks,Networks
USER001003,Active,Lutte contre la corruption à l'échelle mondiale,French,Completed,100.0,M,Permanent,B6,DRC,Sales and Distribution,SALES & DISTRIBUTION
USER001003,Active,Dépasser les préjugés inconscients au travail,French,Started,0.0,M,Permanent,B6,DRC,Sales and Distribution,SALES & DISTRIBUTION
USER001003,Active,Développer votre sens éthique dans le cadre professionnel,French,Completed,90.0,M,Permanent,B6,DRC,Sales and Distribution,SALES & DISTRIBUTION
USER001003,Active,Poser les bases d'une équipe efficace,French,Started,45.0,M,Permanent,B6,DRC,Sales and Distribution,SALES & DISTRIBUTION
USER001003,Active,Dernières étapes pour clôturer un projet,French,Started,0.0,M,Permanent,B6,DRC,Sales and Distribution,SALES & DISTRIBUTION
USER001003,Active,Éléments clés pour l'exécution des stratégies d'entreprise,French,Completed,85.0,M,Permanent,B6,DRC,Sales and Distribution,SALES & DISTRIBUTION
USER001004,Active,Assessing Your Organization's Risks,English,Completed,91.0,M,Permanent,B4,Tanzania,Finance,Finance.Revenue Assurance & Fraud Management
USER001005,Active,IAS 10 Events after the reporting period,English,Completed,0.0,M,Permanent,B4,DRC,Finance,Finances
USER001006,Active,Embracing an Agile Culture for Business Growth,English,Started,0.0,M,Permanent,B6,Nigeria,Enterprise Business,Enterprise Business Operations
USER001006,Active,Expert Insights on Time Management,English,Completed,0.0,M,Permanent,B6,Nigeria,Enterprise Business,Enterprise Business Operations
USER001006,Active,Communicating with Confidence,English,Completed,91.0,M,Permanent,B6,Nigeria,Enterprise Business,Enterprise Business Operations
USER001006,Active,Capturing the Attention of Senior Executives,English,Completed,100.0,M,Permanent,B6,Nigeria,Enterprise Business,Enterprise Business Operations
USER001006,Active,Basic Accounting Concepts for Non-financial Professionals,English,Completed,97.0,M,Permanent,B6,Nigeria,Enterprise Business,Enterprise Business Operations
USER001006,Active,Making an Impact with Non-verbal Communication,English,Completed,87.0,M,Permanent,B6,Nigeria,Enterprise Business,Enterprise Business Operations
USER001006,Active,Developing an Effective Business Case,English,Completed,89.0,M,Permanent,B6,Nigeria,Enterprise Business,Enterprise Business Operations
USER001006,Active,Preparing and Implementing a Business Plan,English,Completed,93.0,M,Permanent,B6,Nigeria,Enterprise Business,Enterprise Business Operations
USER001006,Active,The Discovery Meeting: Starting Off on the Right Foot,English,Completed,100.0,M,Permanent,B6,Nigeria,Enterprise Business,Enterprise Business Operations
USER001006,Active,Expert Insights on Managing Stress,English,Completed,0.0,M,Permanent,B6,Nigeria,Enterprise Business,Enterprise Business Operations
USER001006,Active,Sign-in & Setup with Salesforce Lightning,English,Completed,0.0,M,Permanent,B6,Nigeria,Enterprise Business,Enterprise Business Operations
USER001006,Active,Managing Pressure and Stress to Optimize Your Performance,English,Completed,90.0,M,Permanent,B6,Nigeria,Enterprise Business,Enterprise Business Operations
USER001006,Active,Take a Deep Breath and Manage Your Stress,English,Completed,93.0,M,Permanent,B6,Nigeria,Enterprise Business,Enterprise Business Operations
USER001007,Active,Preparing Financial Statements and Closing Accounts,English,Started,56.0,M,Permanent,B5,Kenya,Sales and Distribution,Sales
USER001007,Active,Basic Accounting Concepts for Non-financial Professionals,English,Completed,97.0,M,Permanent,B5,Kenya,Sales and Distribution,Sales
USER001007,Active,Leading a Cross-functional Team,English,Started,4.0,M,Permanent,B5,Kenya,Sales and Distribution,Sales
USER001008,Active,Business Analysis Overview,English,Completed,83.0,M,Permanent,B5,Tanzania,Finance,Finance.Financial Reporting & Compliance
USER001008,Active,Six Sigma Black Belt: Using Business and Financial Measures,English,Completed,0.0,M,Permanent,B5,Tanzania,Finance,Finance.Financial Reporting & Compliance
USER001009,Active,Gérer en restant attentif à la maîtrise des coûts,French,Started,0.0,M,Permanent,B5,DRC,Finance,Finances
USER001009,Active,Lutte contre la corruption à l'échelle mondiale,French,Completed,100.0,M,Permanent,B5,DRC,Finance,Finances
USER001009,Active,Développer votre sens éthique dans le cadre professionnel,French,Started,0.0,M,Permanent,B5,DRC,Finance,Finances
USER00101,Active,Maintaining a Cohesive Multigenerational Workforce,English,Completed,86.0,M,Permanent,B5,Nigeria,Networks,Network services
USER001010,Active,Optimiser sa productivité en gérant son temps et ses tâches,French,Started,0.0,M,Permanent,B6,DRC,Sales and Distribution,SALES & DISTRIBUTION
USER001010,Active,Permettre l’amélioration des processus opérationnels,French,Started,0.0,M,Permanent,B6,DRC,Sales and Distribution,SALES & DISTRIBUTION
USER001010,Active,Points de vue d'experts sur les feedbacks donnés,French,Completed,0.0,M,Permanent,B6,DRC,Sales and Distribution,SALES & DISTRIBUTION
USER001010,Active,Points de vue d'experts sur le réseautage et l'établissement de relations,French,Completed,0.0,M,Permanent,B6,DRC,Sales and Distribution,SALES & DISTRIBUTION
USER001010,Active,Concepts de la conception des services ITIL®,French,Completed,89.0,M,Permanent,B6,DRC,Sales and Distribution,SALES & DISTRIBUTION
USER001010,Active,Processus de la conception des services ITIL®,French,Completed,87.0,M,Permanent,B6,DRC,Sales and Distribution,SALES & DISTRIBUTION
USER001010,Active,Développer votre sens éthique dans le cadre professionnel,French,Completed,80.0,M,Permanent,B6,DRC,Sales and Distribution,SALES & DISTRIBUTION
USER001011,Active,Embracing an Agile Culture for Business Growth,English,Started,0.0,not_specified,Permanent,not_specified,Kenya,Sales and Distribution,Sales
USER001012,Active,Using Active Listening in Workplace Situations,English,Started,0.0,M,Permanent,B5,Tanzania,Sales and Distribution,Sales.Indirect Sales
USER001012,Active,Managing Employee Development,English,Started,0.0,M,Permanent,B5,Tanzania,Sales and Distribution,Sales.Indirect Sales
USER001012,Active,"Difficult People: Can't Change Them, so Change Yourself",English,Started,0.0,M,Permanent,B5,Tanzania,Sales and Distribution,Sales.Indirect Sales
USER001012,Active,Anti-Money Laundering: An Overview,English,Started,27.0,M,Permanent,B5,Tanzania,Sales and Distribution,Sales.Indirect Sales
